pseudo,salary11,salary10,salary13,salary12,salary15,salary14,salary08,salary09,salary06,salary07,salary05
hayesch01,"$1,972,500","$2,111,750","$5,486,250","$5,250,000","$5,958,750","$5,722,500","$1,750,000","$1,768,000",,"$664,209",
songada01,"$4,818,000","$4,526,000",,,,,"$3,942,000","$4,235,000","$2,200,000","$3,650,000","$1,600,000"
higgico01,,,"$44,835","$473,604",,,,,,,
taylomi01,,,,,,,,"$500,000",,,
farmede01,,,,,,,,"$83,708",,"$275,404",
landrma01,,"$457,588",,,,,,,,,
curryja01,,"$26,917",,,,,"$427,163",,,,
cabocbr01,,,,,"$1,458,360",,,,,,
kleizli01,"$4,995,000",,"$4,600,000","$4,605,000",,,"$1,011,360","$1,824,493","$879,360","$945,360",
parketo01,"$13,500,000","$12,600,000","$12,500,000","$12,500,000","$12,500,000","$12,500,000","$10,500,000","$11,550,000","$8,400,000","$9,450,000","$1,545,441"
glynian01,,,,,,,,,,"$161,061",
ajincal01,"$1,467,840","$1,372,080",,,"$981,084",,,"$1,276,320",,,
bonnema01,"$3,000,000","$3,240,380","$3,630,000","$3,315,000","$1,448,490","$3,945,000","$2,678,000","$2,987,000","$2,000,000","$2,000,000","$385,277"
scottmi01,,,"$473,604",,"$3,333,333","$788,872",,,,,
lynchge01,,,,,,,,,"$3,200,000",,"$3,000,000"
engliki01,,,"$473,604",,,,,,,,
frankja01,,,,,"$19,914",,,,,,
lawalga01,"$473,640",,,,,,,,,,
larkish01,,,,,"$1,606,080","$1,536,960",,,,,
jamesle01,"$14,500,000","$15,779,912","$17,545,000","$16,022,500","$20,644,400","$19,067,500","$13,041,250","$14,410,581","$4,621,800","$5,828,090","$4,320,360"
jawaina01,,"$736,420",,,,,,"$442,114",,,
crawfja01,"$10,800,000","$9,360,000","$5,000,000","$5,000,000","$5,450,000","$5,225,000","$7,920,000","$8,640,000","$6,480,000","$7,200,000","$5,760,000"
whitero03,,,,,,"$1,719,480",,,,,
farieke01,,,"$1,348,800","$1,254,720","$2,249,768","$1,367,640",,,,,
jamisan01,"$13,358,905","$11,641,095","$1,352,181","$15,076,715",,"$1,399,507","$16,360,094","$9,923,285","$13,843,156","$15,101,625","$12,584,688"
shirlpa01,,,,,,,,,,,
fredeji01,,,"$2,406,240","$2,238,360","$948,163","$2,439,840",,,,,
bowenry01,,"$209,592",,,,,"$1,033,930","$1,141,838","$900,498","$998,967","$807,046"
bradlmi01,,,,,,,,,"$819,550",,"$720,046"
linje01,"$473,604",,"$8,374,646","$762,195","$8,374,646","$8,374,646",,,,,
shvedal01,,,"$2,934,610",,"$3,282,056","$3,150,000",,,,,
stojape01,"$636,320","$13,392,000",,,,,"$11,664,000","$12,528,000","$7,500,000","$10,800,000","$6,875,000"
gainesu01,"$89,670","$269,169",,"$854,389",,,,,,,
jonesda01,,,,,,,"$4,172,432","$4,460,186","$3,590,000","$3,884,678","$2,503,000"
asikom01,"$1,721,000",,"$8,374,646","$1,857,500","$8,374,646","$8,374,646",,,,,
frahmri01,,,,,,,"$623,694",,"$719,373",,"$695,046"
ledori01,,,,,"$96,056",,,,,,
ekeziob01,,,,,,,,,,,
blounma01,,"$7,962,500",,,,,"$7,901,040","$8,513,916","$5,515,875","$7,288,165","$4,903,000"
walkebi01,"$854,389","$736,420",,,"$115,422",,,"$542,114",,,
inglejo01,,,,,"$507,336",,,,,,
bullore01,,,,,"$1,200,720","$1,149,000",,,,,
willisc01,,,,,,,,,,,"$1,600,000"
diawaya01,,"$945,000",,,,,"$687,456","$875,000",,"$412,718",
mahinia01,"$762,196","$1,079,640","$4,000,000",,"$4,000,000","$4,000,000","$938,760","$1,009,200",,,
leeco01,"$1,409,040","$1,264,440","$5,000,000","$2,225,093","$5,450,000","$5,225,000",,"$1,176,240",,,
jonesso01,"$1,500,000","$1,620,000",,"$160,119",,,"$729,000","$797,581",,"$675,000",
cambyma01,"$11,749,832","$7,650,000","$4,590,338","$11,227,250","$646,609","$1,399,507","$11,250,000","$10,000,000","$9,150,000","$8,800,000","$8,500,000"
jeffeco01,,,,,"$507,336",,,,,,
lawsoty01,"$1,546,560","$1,438,690","$2,544,529","$1,654,440","$11,595,506","$10,786,517",,,,,
onuakar01,,,,,"$43,226",,,,,,
lambdo01,,,"$650,000",,,"$788,872",,,,,
milicda01,"$4,325,000","$7,500,000","$159,080","$4,776,500",,,"$6,500,000","$7,020,000","$4,135,200","$5,218,622","$3,865,440"
favorde01,"$4,133,280",,"$4,753,320","$4,443,360","$12,833,333","$6,008,196",,,,,
teaguma01,,,"$1,028,400",,"$1,120,920","$1,074,720",,,,,
felixca01,,,,,"$816,482",,,,,,
alstora01,,"$753,133",,,,,"$4,550,000","$4,900,000","$3,850,000","$4,200,000","$3,500,000"
loveke01,"$3,638,280","$3,401,040","$13,668,750","$4,609,701","$15,719,062","$14,693,906",,"$3,163,680",,,
pecheol01,,"$1,547,640",,,,,"$1,345,800","$1,446,720",,,
wilksmi01,,"$175,908",,,,,"$67,151","$998,398","$745,248","$798,112","$720,046"
gayru01,"$13,603,750","$3,280,997","$16,460,538","$15,032,144","$19,317,325","$17,888,931","$2,411,160","$2,579,400",,"$2,242,290",
profila01,,,,,,,,,"$745,248",,"$745,046"
ostergr01,,,,,,,,,"$4,400,000",,"$4,000,000"
ollieke01,,"$1,306,455",,,,,"$3,441,900","$1,262,275","$2,950,200","$3,196,050","$2,704,350"
varejan01,"$7,281,818","$6,300,000","$8,368,182","$7,700,000","$9,704,595","$9,036,364","$5,356,000","$5,784,480","$866,800","$945,600","$788,000"
coleno01,,,"$1,082,520","$1,035,960","$2,038,206","$1,129,200",,,,,
lawac01,"$203,057","$2,216,160",,,,,"$1,927,080","$2,071,680",,,
zhizhwa01,,,,,,,,,,,"$745,046"
haranlu01,"$473,604",,"$1,054,389","$762,195",,,,,,,
garbajo01,,,,,,,"$4,000,000","$4,350,000",,"$3,750,000",
collima01,,"$1,867,742",,,,,"$967,320","$1,034,760",,"$899,880",
grantbr01,,,,,,,,,"$1,670,000","$1,938,870","$13,233,434"
barrybr01,,"$2,062,800",,,,,"$5,544,370","$1,910,000","$4,691,390","$5,117,880","$4,264,900"
dunlemi02,"$10,561,984","$9,780,992","$3,750,000","$3,750,000","$3,326,235","$3,183,000","$8,219,008","$9,000,000","$4,506,261","$7,438,016","$3,565,080"
mcgeeja01,"$1,601,040","$1,496,640","$10,000,000","$2,462,400","$11,250,000","$10,750,000",,"$1,392,240",,,
johnsor01,,,"$550,000",,,"$788,872",,,,,
voskuja01,,,,,,,"$3,000,000","$826,153","$1,937,500","$2,000,000","$1,687,500"
warretj01,,,,,"$1,953,120",,,,,,
taftch01,,,,,,,,,"$423,762","$664,209",
blatcan01,"$5,900,000","$3,000,000","$1,146,337","$6,442,083","$8,471,339","$1,375,604","$2,470,000","$2,739,669","$398,762","$664,209",
douglto01,"$1,071,000","$996,240","$2,067,880","$1,145,640","$268,974","$1,600,000",,,,,
harrida01,,,,,,,"$1,734,316",,"$898,200","$960,840","$835,560"
lucasjo02,"$208,264",,"$1,500,000","$915,852","$123,827","$1,600,000",,"$32,842","$34,041","$700,000",
ubileed01,,,,,,,,,,,
battish01,"$7,354,500","$6,864,200","$3,135,000","$3,000,000",,"$3,270,000","$5,883,600","$6,448,900","$4,903,000","$5,393,300","$3,212,402"
rosema01,,,,,,,"$7,101,250","$7,647,500","$6,008,750","$7,525,397","$5,462,500"
foyera01,"$4,250,000","$3,575,761","$2,500,000","$4,250,000","$3,135,000","$3,000,000","$2,631,840","$2,815,560",,"$2,448,240",
ilicmi01,,,,,,,"$864,000",,,"$800,000",
youngni01,"$2,630,503","$1,714,800","$5,600,000","$3,695,857","$4,994,420","$1,106,942","$1,491,240","$1,602,960",,,
simmoce01,,,,,,,"$1,629,120","$1,742,760",,"$1,515,480",
singlky01,,,"$1,000,000",,"$1,090,000","$1,045,000",,,,,
wrighch02,,,,,,,,,,,
wadedw01,"$14,200,000","$15,779,912","$17,182,000","$15,691,000","$15,000,000","$18,673,000","$13,041,250","$14,410,581","$3,031,920","$3,841,443","$2,834,160"
solomwi01,,,,,,,,"$711,517",,,
bastoma01,,,,,,,"$1,830,000","$2,272,860",,"$744,551",
jeffeal01,"$13,000,000","$12,000,000","$15,000,000","$14,000,000","$13,666,667","$13,500,000","$2,480,885","$11,000,000","$1,512,840","$1,618,320","$1,407,240"
