pseudo,salary11,salary10,salary13,salary12,salary15,salary14,salary08,salary09,salary06,salary07,salary05
walkeke02,,,"$2,532,960","$2,356,320","$3,272,091","$2,568,360",,,,,
woodslo01,,,,,,,,,"$780,000","$300,000","$755,000"
brownbo02,,"$736,420",,,,,,"$442,114",,,
jamesbe01,,,"$473,604",,"$236,866","$788,872",,,,,
smithgr02,,,"$762,195","$301,733","$948,163","$884,293",,,,,
gibsota01,"$1,117,680","$1,039,800","$2,155,811","$1,195,680","$8,000,000","$7,550,000",,,,,
lewisra02,"$19,573,711","$18,876,000","$1,352,181","$21,136,631",,"$1,399,507","$14,880,000","$16,447,871","$8,571,429","$9,350,649","$7,792,208"
quinnch01,"$861,978","$1,055,000",,,,,"$687,456","$972,581",,"$412,718",
armsthi01,"$992,680","$2,801,198",,,,,"$1,900,200","$2,032,800",,"$1,767,600",
jenkich01,,,"$762,195","$473,604",,,,,,,
hughela01,,"$13,655,268",,"$414,443",,,"$12,000,084","$12,827,676","$10,344,900","$13,363,012","$5,455,200"
thompdi01,,,,,,,,,"$398,762","$89,101",
haywala01,"$1,020,960",,"$80,413","$1,097,520",,,,,,,
duprero01,"$58,393",,,,,,"$826,046",,"$719,373","$771,331","$620,046"
willise01,,"$1,629,120",,,,,"$1,416,600","$1,522,920",,,
nailole01,,,,,,,,,"$835,810",,"$745,046"
madsema01,,"$2,840,000",,,,,"$2,420,000","$2,630,000","$2,000,000","$2,210,000","$745,046"
przybjo01,"$7,405,300","$6,857,725","$1,352,181","$1,145,027",,,"$5,762,575","$6,310,150","$1,560,000","$5,215,000","$1,500,000"
westma02,,"$446,740",,,,,"$427,163","$711,517",,,
grangda01,"$10,973,202","$9,930,500","$13,058,606","$12,015,904","$2,077,000","$14,021,788","$1,516,800","$2,329,805","$1,318,920","$1,417,800",
arroyca01,"$1,223,166","$1,107,572",,,,,"$4,100,000",,"$4,000,000","$4,100,000","$4,000,000"
podkopa01,,,,,,,,,"$1,141,560","$600,000","$1,061,880"
stausni01,,,,,"$2,745,840",,,,,,
braggto01,,,,,,,,,,,
booketr01,"$1,204,560",,"$1,385,280","$1,294,920","$5,000,000","$2,350,820",,,,,
dioguik01,"$608,772","$884,881",,"$64,028",,,"$2,286,360","$2,912,823","$1,988,160","$2,137,200",
harpeju01,,,"$762,195","$473,604",,,,,,,
hinriki01,"$9,000,000","$9,500,000","$3,941,000","$8,100,000","$2,730,000","$4,059,000","$11,250,000","$10,000,000","$2,513,880","$3,192,628","$2,349,840"
mccrach01,,,,,,,,,,"$161,061",
bryanko01,"$24,806,250","$23,034,375","$27,849,149","$25,244,493","$23,500,000","$30,453,805","$19,490,625","$21,262,500","$15,946,875","$17,718,750","$14,175,000"
jacksje01,,,,,,,,,"$583,944",,
singlch01,,,"$1,596,360","$1,485,000",,"$1,618,680",,,,,
mcleoke01,,,,,,,,"$926,678","$1,250,000","$1,350,000","$750,000"
chalmma01,"$854,389","$773,500","$4,000,000","$4,000,000","$4,000,000","$4,000,000",,"$700,000",,,
kiddja01,"$8,610,500","$8,000,000","$3,090,000","$10,121,000",,,"$19,728,000","$21,372,000","$16,440,000","$18,084,000","$14,796,000"
padgesc01,,,,,,,,,"$1,670,000","$563,302","$807,546"
brookma01,,,"$1,193,280","$1,110,120",,"$1,210,080",,,,,
borchcu01,,,,,,,,,"$1,969,993",,"$1,280,880"
nelsode01,,,,,,,,"$182,047",,,
moonja01,"$3,000,000","$2,750,000",,,,,"$427,163","$711,517",,,
richaqu01,"$2,265,000","$9,352,400","$2,627,400","$2,446,600",,"$1,399,507","$8,105,500","$8,685,500","$6,940,000","$7,525,500","$5,800,000"
burkepa01,,,,,,,,,"$750,000","$810,000",
hansbty01,"$1,998,600","$1,859,160","$3,055,259","$2,138,040","$3,326,235","$3,183,000",,,,,
morrima02,,,"$2,063,040","$1,919,160","$2,989,239","$2,091,840",,,,,
morrima03,,,"$1,959,960","$1,823,280","$2,943,221","$1,987,320",,,,,
mccalra01,,,,,"$816,482",,,,,,
foylead01,,"$1,306,455",,,,,"$1,219,590","$1,262,275","$7,312,500","$8,125,000","$6,500,000"
georgpa01,"$2,238,360",,"$2,574,120","$2,406,240","$15,925,680","$3,282,003",,,,,
jacksce01,,"$53,834",,,,,,,,,
edwarsh01,,,,,,,,,,,
sullija01,,,"$1,306,920",,"$1,424,520","$1,365,720",,,,,
waitedi01,,,"$3,726,600",,"$4,062,000","$3,894,240",,,,,
fortsco01,,,,"$42,009",,,,,,,
udrihbe01,"$6,478,600","$6,031,800","$7,372,000","$6,925,400","$2,077,000","$1,272,279","$788,349","$5,585,000","$904,800","$967,920","$841,680"
thompho01,,,,,"$816,482",,,,,,
dickeka01,,,,,,,"$264,897",,"$31,305",,"$483,938"
johnsbr01,,,,,,,,,,,"$45,369"
rosste01,,,"$2,563,320",,"$2,793,960","$2,678,640",,,,,
willier01,,,,,,,,,"$3,938,000","$4,296,000","$3,580,000"
macijar01,,,,,,,"$500,000",,"$2,500,000","$500,000",
southja01,,,,,,,,,,,
mbengdj01,"$1,069,509","$959,111",,,,,"$249,478","$880,658","$880,000","$1,628,959","$800,000"
harriga01,,,,,"$1,519,200",,,,,,
leeda02,"$10,800,000","$7,000,000","$12,744,000","$11,610,000","$15,012,000","$13,878,000","$990,600","$1,788,033","$861,360","$926,040",
stuckro01,"$2,767,126","$1,805,040","$8,500,000","$8,500,000","$1,227,985","$8,500,000","$1,569,600","$1,687,320",,,
thomama01,,,,"$103,104","$474,000",,,,,,
rubiori01,,,"$3,741,120","$3,480,120","$5,070,686","$4,002,120",,,,,
gildetr01,,"$26,917",,,,,,,,,
sprewla01,,,,,,,,,,,"$14,625,000"
macklve01,,,,"$473,604",,,,,,,
lopezro01,"$1,867,320","$1,745,520","$4,899,293","$2,862,602","$6,124,728","$5,904,261",,"$1,623,720",,,
carrode01,"$1,085,400","$1,009,680",,"$289,382","$2,442,455","$2,557,545",,,,,
jordaje01,,,,"$473,604","$915,243",,,,,,
stackje01,"$222,712","$668,598","$1,352,181","$1,352,181",,,"$6,750,000","$7,000,000","$8,367,187","$9,296,874","$7,437,500"
morrite01,,,,,,,,,"$835,810",,
doubyqu01,,"$85,519",,,,,"$1,333,920","$1,427,040",,"$1,240,920",
hicksjj01,"$1,528,920","$1,429,200","$4,000,000","$2,354,537","$5,381,750","$5,150,000",,"$1,329,480",,,
pargoje01,,,"$443,867","$1,000,000",,,,,,,
majorre01,,,,,,,,,,"$20,133",
swiftst01,,,,,,,"$5,800,000","$6,200,000","$5,000,000","$5,400,000","$5,993,105"
pinknke01,,,,,,,,,,,
roseja01,,,,,,,,,"$15,694,250","$1,540,000","$14,487,000"
shakumu01,"$89,670",,,,,,"$5,450",,,,
jacksma02,,,,,,,,,"$4,550,000","$4,875,000","$4,225,000"
slokaur01,,,,,,,,,,"$412,718",
cassesa01,,,,,,,"$6,150,000","$1,262,275","$6,875,000","$6,850,000","$6,250,000"
caldejo01,"$9,000,000","$8,219,009","$11,046,591","$9,780,992","$7,097,191","$6,791,570","$2,471,604","$7,438,018","$2,190,000","$2,333,334",
anderda03,"$2,500,000","$2,300,000",,,,,,,,,
jonesda02,"$2,500,000","$2,500,000","$2,900,000","$2,700,000","$387,632",,"$753,767","$926,678","$1,223,160","$1,886,113","$1,143,360"
whitedj01,"$1,108,680","$1,036,440","$269,368","$2,001,167",,,,"$964,080",,,
fournev01,,,"$1,361,400",,"$1,483,920","$1,422,720",,,,,
akognjo01,,,,,,"$788,872",,,,,
obryapa01,,"$1,620,000",,,,,"$2,216,400","$1,500,000",,"$2,061,720",
wilcoch01,"$3,000,000","$3,000,000","$1,352,181","$3,000,000",,,"$6,500,000","$6,750,000","$2,812,239","$6,250,000","$2,210,880"
crittja01,,"$1,477,920",,,,,"$1,285,200","$1,381,560",,,
hummero01,,,,,"$880,000",,,,,,
arenagi01,"$17,730,694","$16,192,080","$20,807,922","$19,269,307",,,"$11,950,400","$14,653,466","$10,243,200","$11,096,800","$9,389,600"
fundela01,,,,,,,,,,,
walljo01,"$5,144,280",,"$5,915,880","$5,530,080","$14,746,000","$7,459,925",,,,,
hillst01,,,,,,,,"$148,238",,,
thomala01,,,"$762,195","$328,444","$403,784","$884,293",,,,,
goodwar01,,,,,"$1,112,280","$1,064,400",,,,,
mccanra01,,,,,,,"$1,769,160","$2,620,126","$1,538,400","$1,653,720",
griffad01,,,,,,,"$1,593,000","$1,711,000","$768,718","$1,475,000","$870,046"
weathcl01,,,,,,,,,"$6,353,200",,"$5,899,400"
harvedo01,,,,,,,,,,,
leuerjo01,,,"$762,195","$473,604","$967,500",,,,,,
ennisty01,,,,,"$1,590,720",,,,,,
nowitdi01,"$17,278,618","$19,795,714","$20,907,128","$19,092,873","$7,974,482","$22,721,381","$16,360,094","$18,077,904","$13,843,156","$15,101,625","$12,584,688"
grahajo01,"$992,680","$884,881",,,,,"$1,596,600","$2,449,184","$1,388,400","$1,492,440",
randosh01,,"$88,488",,,"$1,227,985",,"$1,080,000","$826,269","$398,762","$1,000,000",
babbch01,,,,,"$48,028",,,,,,
ebankde01,"$473,604",,"$1,054,389","$762,195",,,,,,,
houseed01,"$1,352,181","$2,862,000",,,,,"$1,500,000","$2,650,000","$835,810","$1,400,000","$563,327"
diawbo01,"$9,000,000","$9,000,000","$4,500,000","$9,000,000","$7,500,000","$4,702,500","$9,000,000","$9,000,000","$1,174,200","$1,870,501","$1,097,640"
silerga01,"$473,640",,,"$51,097",,,,,,,
maxieja01,"$5,000,000","$5,000,000","$5,000,000","$5,000,000","$1,316,809","$2,500,000","$1,041,360","$1,877,572","$905,640","$973,440",
perkike01,"$4,640,208","$4,250,000","$7,800,531","$7,123,626","$434,547","$8,477,437","$4,480,912","$4,578,880","$936,480","$1,689,409","$875,400"
griffbl01,"$5,357,280","$4,983,480","$7,226,892","$5,731,080","$17,674,612","$16,441,500",,,,,
planizo01,,,,,,,,,"$1,127,280","$150,000","$1,053,720"
lambje01,,,"$2,020,200",,"$2,202,000","$2,111,160",,,,,
petermo01,"$6,665,000","$6,212,960",,,,,"$5,356,000","$5,592,240","$4,550,000","$4,550,000","$4,400,000"
ezelife01,,,"$1,020,960",,"$1,112,880","$1,066,920",,,,,
johnswe01,"$3,726,600",,"$4,285,560","$4,006,080","$981,084","$916,099",,,,,
nelsoja01,"$7,800,000","$6,138,888","$8,600,000","$7,800,000","$2,732,000","$8,600,000","$1,961,609","$7,700,000","$1,189,200","$1,272,120","$1,106,160"
murrala01,,,,,,,,,"$1,138,500",,"$4,875,000"
harriot01,,,,,,,"$2,376,000",,"$3,500,000","$2,200,000","$3,150,000"
honeyty01,,,"$809,875","$775,000",,"$100,000",,,,,
gibsoda01,"$4,015,334","$4,088,500","$4,792,332","$4,403,834",,,"$687,456","$3,700,000",,"$412,718",
besttr01,,,,,,,,,,,"$1,000,000"
goodedr01,"$5,760,000","$4,500,000","$6,687,400","$6,226,200","$1,448,000",,"$6,453,416","$7,151,183","$4,065,811","$6,645,402","$3,214,080"
russewa02,,,,"$374,289",,,,,,,
thomaty01,"$6,611,570","$4,743,598","$8,000,000","$7,305,765","$72,234",,"$3,505,320","$3,749,880",,"$3,260,760",
conrowi01,,"$48,559","$85,439",,,,,,,"$15,099",
williel01,"$1,254,720",,"$1,442,880","$1,348,800","$53,838",,,,,,
mcdankj01,,,,,"$507,336",,,,,,
simiewa01,,,,,,,,,"$867,720","$932,760",
butleji01,,,"$1,097,520","$1,020,960","$2,008,748","$1,112,880",,,,,
hopsosc01,,,,,,,,,,,
covinro01,,,,,"$150,000",,,,,,
conlemi01,"$4,913,007","$3,883,800","$7,305,786","$6,611,571","$8,894,216","$8,000,001","$3,377,160","$3,630,480",,,
rossqu01,"$1,146,337","$1,033,342",,,,,"$826,046","$854,957","$700,000","$771,331","$620,046"
fishede01,"$3,700,000","$5,048,000","$182,942","$3,400,000",,"$1,399,507","$4,350,000","$4,700,000","$5,393,300","$5,883,600","$4,903,000"
korolya01,,,,,,,,,"$1,704,480","$1,832,280",
khryavi01,,,,,,,"$1,928,598",,"$1,095,960","$1,172,400","$1,019,400"
mcguido01,"$884,120","$825,497","$110,947","$915,852",,,"$427,163","$711,517",,,
weemsso01,"$854,389","$736,420",,,,,,"$442,114",,,
daniema01,"$2,470,000","$1,990,000","$1,229,255","$1,223,166",,,"$6,373,900","$6,864,200","$5,393,300","$5,883,600","$4,903,000"
jetereu01,"$473,604",,,,,,,,,,
harrejo01,,,"$354,197","$473,604",,"$884,293",,,,,
oladivi01,,,,,"$4,978,200","$4,763,760",,,,,
millequ01,,,"$473,604",,"$107,676","$788,872",,,,,
hassetr01,,"$4,350,000",,,,,"$4,350,000","$4,350,000","$4,350,000","$4,350,000","$4,350,000"
wrighbr03,"$3,398,072","$2,671,440",,,"$5,000,000","$5,000,000","$2,323,080","$2,497,320",,,
