pseudo,salary11,salary10,salary13,salary12,salary15,salary14,salary08,salary09,salary06,salary07,salary05
danieer01,,,,,,,,,,,"$385,277"
wesleda01,,,,,,,"$250,000",,"$5,070,000","$1,750,000","$4,455,000"
allenra02,"$10,000,000","$18,776,860","$3,090,000","$10,000,000",,"$3,229,050","$16,000,000","$18,388,430","$13,223,140","$14,611,570","$14,625,000"
mcrobjo01,"$885,120","$825,497","$3,135,000","$3,000,000","$5,305,000","$2,652,000","$427,163","$711,517",,,
washida01,,,,,,,"$154,847",,,,
vonleno01,,,,,"$2,524,200",,,,,,
mccarwa01,,,,,,,,,"$1,035,000",,"$1,337,500"
brewero02,"$4,790,000","$2,717,161","$1,069,509","$4,710,000",,"$1,186,459","$1,715,040","$1,834,680",,"$1,595,400",
anderch01,"$4,533,300","$3,650,000","$699,952","$4,234,000","$5,375,000","$1,399,507",,"$998,398","$3,500,000",,"$1,600,000"
babbilu01,"$1,645,440",,"$1,892,280","$1,768,800","$981,084",,,,,,
mirotni01,,,,,"$5,305,000",,,,,,
kirkal01,,,,,"$65,000",,,,,,
stewami01,,,,,,,,,,,"$4,800,000"
chandwi01,"$2,130,482","$1,255,440","$5,930,414",,"$6,757,913","$6,344,164","$1,091,640","$1,173,480",,,
atkinch01,,"$760,000",,,,,"$3,000,000","$3,240,000","$4,500,000","$3,000,000","$4,200,000"
danietr01,,,,,"$816,482",,,,,,
bennean01,,,,,"$5,563,920","$5,324,280",,,,,
aldrico01,"$2,126,520",,"$2,445,480","$2,286,000","$981,084",,,,,,
bynumwi01,"$3,250,000","$825,497","$3,250,000","$3,250,000","$144,468","$2,790,343",,"$711,517",,,
gilled01,,,,,,,"$151,089","$387,613","$819,551",,"$720,046"
jonesdw02,,,,,,,"$770,610","$46,812","$398,762","$664,209",
stoneju01,,,"$762,195","$473,604",,,,,,,
bibbymi01,"$5,564,767","$6,217,617",,"$1,352,181",,,"$13,500,000","$14,983,603","$11,500,000","$12,500,000","$10,500,000"
cottobr01,,,,,"$50,000",,,,,,
