pseudo,salary11,salary10,salary13,salary12,salary15,salary14,salary08,salary09,salary06,salary07,salary05
novakst01,"$350,179","$855,189","$4,054,055","$992,680","$3,445,946","$3,750,000","$687,456","$797,581",,"$600,000",
dentmju01,,,,,,,,,,,
zelleco01,,,,,"$4,030,560","$3,857,040",,,,,
humphkr01,"$3,200,000","$3,200,000","$12,000,000","$8,000,000","$4,300,000","$12,000,000","$2,522,913","$3,200,000","$1,592,400","$1,703,520","$1,481,400"
ellismo01,"$11,000,000","$11,000,000","$11,000,000","$11,000,000","$8,360,000","$8,000,000","$770,610","$11,000,000","$448,762","$664,209",
johnsch03,"$27,859",,"$447,298","$762,195",,"$916,099",,,,,
johnsda03,,,"$192,228",,,,,,,,
brunsri01,,,,,,,,,"$1,029,873",,"$932,546"
augusja01,,,,,,,"$687,456",,,"$412,718",
drumman01,,,"$2,356,320",,"$2,568,360","$2,462,400",,,,,
bakervi01,,,,,,,,,"$3,850,000","$86,221","$3,500,000"
kiddgmi01,,,"$4,602,720",,"$5,016,960","$4,809,840",,,,,
holidju01,,,,,"$816,482",,,,,,
masseto01,,,,,,,,,,,"$1,100,000"
redicjj01,"$7,250,000","$2,839,408","$6,190,000","$6,750,000","$6,583,500","$6,300,000","$2,000,160","$2,139,720",,"$1,860,720",
bartowi01,,,"$550,000",,"$915,243","$788,872",,,,,
whitero02,,,,,,,,,,,"$1,797,845"
woltena01,,,,,"$96,056",,,,,,
griffta01,,"$457,588",,,,,,,,,
harrite01,,,"$186,656","$473,604",,,,,,,
johnsch04,,,"$61,290",,"$107,674",,,,,,
ricegl02,,,,,"$400,000",,,,,,
dalemsa01,"$13,428,129","$12,025,694","$6,698,565","$7,000,000","$3,867,282","$3,700,748","$10,250,000","$11,238,564","$8,470,000","$9,464,307","$1,599,549"
marblde01,,,,,"$884,879",,,,,,
chandty01,"$12,600,000","$11,850,000","$13,604,188","$13,107,837","$14,598,888","$14,100,538","$10,250,000","$11,350,000","$9,000,000","$9,150,000","$4,801,102"
georgde01,,"$1,600,000",,,,,"$2,369,111","$1,600,000","$5,000,600","$1,974,259","$4,546,000"
antetgi01,,,,,"$1,873,200","$1,792,560",,,,,
alexaco01,,,,,,,,,,,
earlycl01,,,,,"$507,336",,,,,,
thomajo02,,,,,,,,,"$103,443",,
patteru01,,,,,,,"$304,897",,"$6,353,200","$6,807,000","$5,899,400"
fortsda01,,,,,,,,,"$6,207,670","$6,596,990","$5,818,136"
hitero01,,,,,,,,,,"$412,718",
ayongu01,,,"$1,500,000","$1,567,500",,"$1,500,000",,,,,
burleke01,,,,,,,,,"$398,762","$70,000",
johnser02,,,,,,,,,"$1,138,500",,"$4,837,633"
marshke01,,,"$1,919,160",,"$915,243","$2,005,560",,,,,
davisri01,,"$2,484,000",,,,,"$6,819,000","$2,300,000","$5,909,800","$6,364,400","$5,455,200"
teaguje01,"$1,476,840","$1,373,880","$2,433,077","$1,579,920","$8,000,000","$8,000,000",,,,,
wrighch01,,,,"$473,604",,,,,,,
mournal01,,,,,,,"$2,762,500",,"$1,138,500","$2,500,000","$5,408,700"
allrela01,,,,,,,,,,,
footeje01,,,,"$225,341",,,,,,,
davisba01,"$13,000,000","$12,150,000","$14,850,000","$1,352,181",,,"$16,440,000","$11,250,000","$13,700,000","$15,070,000","$12,330,000"
ilgauzy01,"$1,352,181","$11,541,074",,,,,"$10,142,156","$10,841,615","$8,740,000","$9,442,697","$14,625,000"
ndiayma02,,,,,,,,,,,"$750,000"
krstine01,"$5,543,116","$5,400,000",,,,,"$1,889,760","$4,778,548","$1,010,040","$1,080,480","$939,480"
murphtr01,"$11,968,253","$11,047,619","$214,758","$1,352,181",,,"$9,206,349","$10,126,984","$7,365,079","$8,285,714","$2,231,808"
ginobma01,"$11,854,584","$10,728,130","$14,107,492","$12,981,038","$7,000,000","$7,500,000","$9,079,811","$9,905,248","$7,428,937","$8,254,375","$6,603,500"
thomaja02,,,,,,,,,"$148,698",,
parkeja01,,,,,"$4,930,560",,,,,,
duncati01,"$18,700,000","$22,183,220","$9,638,554","$21,164,619","$10,000,000","$10,361,446","$19,014,188","$20,598,704","$15,845,156","$17,429,672","$14,260,641"
brownde02,,"$1,100,000",,,,,"$1,200,000","$998,398","$2,500,000","$500,000","$695,046"
mihmch01,,,,,,,"$2,500,000","$2,500,000","$3,792,817","$4,214,241","$3,371,393"
hawessp01,"$2,974,320","$2,332,800","$8,500,000","$4,051,024","$5,305,000","$6,500,000","$2,028,600","$2,180,760",,,
brownkw01,"$1,229,255","$4,100,000","$2,819,044","$6,750,000",,"$2,945,901","$9,075,000","$4,000,000","$7,500,000","$8,287,500","$5,361,873"
iveyro01,"$1,200,000","$1,050,000","$1,223,166","$1,200,000",,,"$826,046","$854,957","$641,748","$744,551","$425,000"
oquinky01,,,"$788,872",,"$915,243","$788,872",,,,,
varnaja01,,,"$33,431",,"$75,000","$788,872",,,,,
porteot01,,,,,"$4,470,480","$4,278,000",,,,,
dayeau01,"$1,803,720","$1,677,840","$2,958,077","$1,929,600","$125,104","$947,907",,,,,
barroea01,"$188,558",,"$358,600","$185,588","$107,676",,"$973,328",,"$398,762","$744,551",
bayleje01,"$2,292,600","$2,143,080","$3,000,000","$3,042,280","$3,000,000","$3,135,000",,"$1,993,560",,,
blueva01,,,,,,,,,,,
turiaro01,"$4,000,000","$4,140,000","$1,146,337","$4,360,000","$1,500,000","$1,500,000","$770,610","$4,500,000",,"$664,209",
sandeme01,,,,,,,,,"$24,315",,
goldwan01,,,,,,,,,"$74,652",,"$116,713"
rebraze01,,,,,,,,,"$3,000,000","$3,240,000","$2,500,000"
jianlyi01,"$4,050,499","$3,194,400",,"$827,197",,,"$2,777,760","$2,986,080",,,
snydeki01,,,,,,,"$2,358,433",,"$1,437,240","$1,537,440","$1,336,920"
gillke01,,,,,,,,,,,"$912,195"
wearda01,,,,,"$29,843",,,,,,
papanko01,,,,,"$4,800,000",,,,,,
robincl02,,,,,,,"$500,000",,"$2,500,000","$1,600,000","$5,287,500"
afflaar01,"$1,959,577","$1,086,240","$7,750,000","$7,562,500","$7,750,000","$7,312,500","$944,520","$1,015,440",,,
hardaan01,,,,,,,"$320,142",,"$15,750,000",,"$14,625,000"
harklma01,,,"$1,731,960",,"$1,887,840","$1,809,840",,,,,
eyengch01,"$1,020,960",,"$1,174,080","$1,097,520",,,,,,,
fordsh02,,,,,,,,,"$116,711",,
mcderdo01,,,,,"$2,277,960",,,,,,
burksal01,,,"$2,171,640","$2,020,200","$3,034,356","$2,202,000",,,,,
beaslmi01,"$4,962,240","$4,638,600","$5,750,000","$6,262,347","$330,226","$1,027,424",,"$4,314,960",,,
millemi01,"$5,000,000","$9,750,000","$5,800,000","$5,400,000","$2,732,000","$1,399,507","$8,376,194","$9,028,575","$6,750,000","$7,623,813","$6,000,000"
carlige01,,,,,,,,,,,"$65,779"
jonesde01,,,"$473,504",,,,,,,,
langja01,,,,,,,,,,"$771,331",
peelean01,,,,,,,,,,,"$1,600,000"
johnsde03,,,,,,,"$42,203",,"$835,810","$865,063","$745,046"
kittlke01,,,,,,,,,,,"$9,566,667"
ewingpa02,,,,,,,,,,,
vujacsa01,"$5,475,113","$5,000,000",,,,,"$1,756,951","$4,524,887","$910,440","$973,920","$846,840"
horfoal01,"$5,444,857","$4,307,640","$12,000,000","$12,000,000","$12,000,000","$12,000,000","$3,745,800","$4,026,720",,,
poweldw01,,,,,"$507,336",,,,,,
hendeal01,,,,,,,,,"$1,138,500","$1,178,348","$8,273,125"
spanova01,,,,,,,"$1,944,000",,,"$1,800,000",
greenta01,,,,,,,"$427,163",,,,
eisleho01,,,,,,,,,"$291,567","$162,660","$1,100,000"
clarkia01,,,,,"$816,482",,,,,,
machasc01,,,"$192,228",,,,,,,,
prigipa01,,,"$473,604",,"$1,662,961","$1,591,350",,,,,
kuzmiog01,,,,,"$816,482",,,,,,
edwarco01,,,,,,,,,,,"$319,498"
norrimo01,,,,,,,,,"$4,200,000",,"$3,850,000"
bareajo01,"$1,815,000","$1,657,500","$4,493,500","$4,300,000","$1,310,286","$4,687,000","$687,456","$1,500,000",,"$412,718",
wrighbr02,,,,,,,,,"$398,762","$664,209",
kilpase01,,,,,"$29,843",,,,,,
marksse01,"$1,264,687","$1,187,686",,,,,"$1,033,930","$1,141,838","$835,810","$932,015","$745,046"
monrogr01,"$2,798,040",,"$3,217,680","$3,007,920","$5,479,934","$4,086,454",,,,,
wagneda02,,,,,,,,,,"$771,331","$2,643,600"
udokaim01,"$264,232","$838,034",,,,,"$1,000,000","$1,080,000",,"$744,551",
cookbr01,"$1,146,337","$3,500,000",,"$1,223,166",,,"$3,500,000","$3,500,000","$1,038,960","$1,817,141","$971,160"
baynear01,,,"$401,170",,"$2,077,000","$788,872",,,,,
dienggo01,,,,,"$1,413,480","$1,352,640",,,,,
breweco01,"$3,703,472","$2,916,120","$3,243,000","$3,059,000","$4,702,500","$4,500,000","$2,535,720","$2,725,920",,,
wrighan01,"$992,680","$2,110,550",,,,,"$1,680,600","$1,800,000","$1,461,360","$1,570,920",
hairsma01,,"$736,420",,,,,,"$351,091",,,
richaja01,"$14,444,444","$13,333,333","$5,799,625","$5,395,000","$6,601,125","$6,204,250","$11,111,110","$12,222,221","$8,888,888","$9,999,999","$3,534,018"
olynyke01,,,,,"$2,075,760","$1,986,360",,,,,
cardibr01,"$1,352,181","$6,750,000",,"$1,352,181",,,"$5,850,000","$6,300,000","$5,393,300","$5,400,000","$4,903,000"
middlkh01,,,"$473,604",,"$915,243","$788,872",,,,,
najered01,"$3,000,000","$3,100,000",,"$2,750,000",,,"$4,952,380","$3,250,000","$4,190,476","$4,571,428","$3,809,524"
willifr02,,,,,,,,,,,"$957,480"
pattepa01,"$1,823,280",,"$2,096,760","$1,959,960","$5,831,326","$3,105,302",,,,,
thompkl01,,,"$2,286,000","$2,126,520","$3,075,880","$2,317,920",,,,,
pressph01,,,,,"$816,482",,,,,,
smithdo04,,,,,,,,,"$641,748",,"$425,000"
vaughja01,,,,,,,"$1,219,950","$1,262,275","$1,094,550","$1,071,225","$932,546"
wallara01,"$6,322,320","$5,854,000","$1,352,181",,,,"$12,540,000","$13,930,000","$10,860,000","$11,650,000","$9,720,000"
walkesa01,,,,,,,,,"$364,223",,"$995,046"
garneke01,"$18,800,000","$16,400,000","$11,566,265","$21,247,044","$12,000,000","$12,443,735","$23,750,000","$24,751,934","$18,000,000","$21,000,000","$16,000,000"
tayloty01,,,"$473,604",,,"$788,872",,,,,
hoibefr01,,,,,,,,,"$1,760,000",,"$1,600,000"
curryst01,"$2,913,840","$2,710,560","$3,958,742","$3,117,120","$10,629,213","$9,887,642",,,,,
bozemce01,,,,,,,,,,"$412,718",
milesaa01,,,,,,,,,"$155,614",,
smithjr01,"$6,757,851","$5,508,426","$2,806,452","$2,382,353","$6,516,000","$5,565,000","$2,134,067","$4,985,001","$1,297,080","$1,387,560","$1,206,600"
clarkea01,"$1,898,760","$1,766,280","$1,240,000","$1,160,000","$62,552","$4,250,000",,,,,
jacksji01,,,,,,,,,"$2,640,000",,"$2,420,000"
powelro01,,,,,,,,,,"$412,718",
stevede01,"$4,151,786","$3,886,928","$2,240,450","$2,500,000",,,"$1,033,930","$3,616,072","$2,750,000","$932,015","$2,500,000"
sefolth01,"$3,250,000","$2,759,628","$3,600,000","$3,300,000","$4,150,000","$3,900,000","$1,805,160","$1,931,160",,"$1,679,280",
olowomi01,,,,,,,,,"$5,900,400","$1,103,225","$5,408,700"
thomptr02,,,"$762,195","$473,604",,,,,,,
wilkida02,"$748,656","$3,300,000","$1,223,166","$1,146,337",,,"$2,900,000","$3,100,000","$2,500,000","$2,700,000","$385,277"
claxtsp01,,"$5,209,454",,,,,"$6,306,182","$5,757,818","$3,600,000","$6,854,546","$3,300,000"
howarju01,"$1,352,181","$1,306,455",,"$1,352,181",,,"$1,211,197","$51,976","$5,900,400","$6,392,100","$5,408,700"
stricer01,,,,,,,,,,,"$1,650,000"
singlse01,,,,,,,,"$442,114",,,
acyqu01,,,"$665,000",,"$915,243","$788,872",,,,,
houstal01,,,,,,,,,"$19,125,000",,"$17,531,250"
wallabe01,"$2,080,000","$1,306,445",,"$2,246,400",,,"$15,500,000","$14,500,000","$7,500,000","$16,000,000","$7,000,000"
korveky01,"$5,000,000","$5,155,115","$5,000,000","$5,000,000","$6,253,521","$6,760,563","$4,400,000","$4,956,818","$3,630,363","$4,018,182","$620,046"
noelne01,,,,,"$3,315,120","$3,172,320",,,,,
parsoch01,,,"$888,250","$850,000","$14,700,000","$926,500",,,,,
serapke01,"$1,563,120",,"$1,797,600","$1,680,360","$3,898,692","$2,761,114",,,,,
westda01,"$8,287,500","$9,075,000","$10,000,000","$10,000,000","$12,000,000","$12,000,000","$10,650,000","$9,862,500","$1,334,160","$2,051,938","$1,247,160"
markoda01,,,,,,,,,,"$412,718",
tayloje03,,,"$575,000",,"$915,243","$788,872",,,,,
tayloje02,"$780,871","$725,000",,,,,,,,,
wafervo01,"$915,852",,,,,,"$770,610","$826,269","$398,762","$24,300",
jefferi01,"$8,400,000","$14,200,000","$10,164,000","$9,282,000","$1,448,490","$11,046,000","$12,200,000","$13,200,000","$10,200,000","$11,200,000","$2,266,794"
fizerma01,,,,,,,,,,,"$735,960"
meeksjo01,"$762,195","$650,000","$1,500,000","$854,389","$6,000,000","$1,550,000",,,,,
randoza01,"$17,666,666","$16,000,000","$16,500,000","$15,200,000","$16,500,000","$17,800,000","$13,333,333","$14,666,667","$10,666,667","$12,000,000","$1,504,272"
shengto01,,,"$473,604",,,"$788,872",,,,,
robingl02,,,,,"$507,336",,,,,,
bensoke02,,,,,,,,,,,
tollian01,"$2,200,000","$51,983","$915,852","$2,050,000","$3,000,000","$1,027,424",,"$26,007",,,
moultar01,,,"$1,042,320",,"$1,136,160","$1,089,240",,,,,
gordoaa01,,,,,"$3,992,040",,,,,,
aldrila01,"$11,244,000","$5,844,827","$13,500,000","$12,372,000","$16,006,000","$14,128,000","$4,329,360","$4,631,400",,"$4,027,320",
storeaw01,,,,,,,"$711,517",,"$641,748",,"$84,573"
freeljo01,,,"$3,013,512",,"$3,013,512","$2,897,976",,,,,
duranke01,"$6,053,663","$4,796,880","$16,669,630","$15,506,632","$18,995,624","$17,832,627","$4,171,200","$4,484,040",,,
allenla01,,,"$3,000,000","$473,604","$948,163","$3,060,000",,,,,
belinma01,"$2,380,270","$1,547,640","$1,957,000","$3,377,604","$2,873,750","$2,750,000","$1,345,800","$1,446,720",,,
greerly01,,,,,,,,,,"$664,209",
bradlsh01,,,,,,,,,"$4,500,000","$4,800,000","$4,000,000"
mckieaa01,,,,,,,"$750,000",,"$2,500,000","$2,500,000","$5,500,000"
denglu01,"$11,345,000","$10,370,425","$13,305,000","$12,325,000","$9,714,461","$14,275,000","$3,320,339","$9,385,000","$2,443,920","$2,614,440","$2,273,400"
chrispa01,,,,,,,,,,,
masonde01,,"$76,850",,,,,"$5,000,000","$5,300,000","$7,333,333","$8,037,037","$6,529,630"
hairspj02,,,,,"$1,149,720",,,,,,
brockjo01,"$1,000,000","$457,588","$1,000,000","$1,000,000",,,,,,,
kinseta01,,,,,,,"$219,533","$797,581",,"$412,718",
cunnida01,"$762,195","$457,588","$2,090,000","$2,000,000","$831,942","$2,180,000",,,,,
terryja01,"$10,650,000","$9,862,500","$5,000,000","$11,158,000","$5,850,313","$5,625,313","$8,898,000","$9,196,000","$6,666,667","$8,100,000","$7,500,000"
russebr01,,,,,,,,,"$1,138,500",,"$1,100,000"
jacksbo01,,,,,,,"$5,670,000","$6,487,888","$3,375,000","$5,259,000","$3,150,000"
lasmest01,,,,,,,"$48,056",,,,
telfase01,"$2,700,000","$2,500,000","$1,567,500","$1,500,000","$915,243",,"$2,562,426","$2,300,000","$1,676,280","$1,793,160","$1,559,280"
hamilri01,"$12,500,000","$11,625,000","$5,000,000","$5,000,000","$333,333","$1,000,000","$10,000,000","$10,812,500","$8,625,000","$9,187,500","$7,812,500"
mensapo01,"$364,461","$87,406",,,,,,,,"$412,718",
millere01,,,,,,,,,"$6,000,000",,"$5,500,000"
johnsar02,"$473,604",,,"$762,195",,,,,,,
vanexni01,,,,,,,,,"$1,138,500",,"$11,933,252"
splitti01,"$3,400,000",,"$3,944,000","$3,672,000","$9,250,000","$10,000,000",,,,,
butlera01,"$2,400,000","$3,945,000",,"$1,229,255","$1,448,490",,"$3,315,000","$3,630,000","$1,300,000","$3,000,000","$1,200,000"
thornma01,"$762,195","$457,888","$7,525,000","$7,000,000","$8,575,000","$8,050,000",,,,,
thomati01,,"$1,306,455",,,,,"$5,632,200","$6,049,400","$13,975,000","$5,215,000","$12,900,000"
stricro02,,,,,,,,,,,
outlabo01,,,,,,,"$160,071",,"$1,138,500","$1,178,348","$1,059,756"
balkmre01,"$1,675,000","$2,112,417","$1,675,000","$1,675,000",,,"$1,280,640","$1,369,920",,"$1,191,240",
poweljo01,"$1,069,609","$959,111",,,,,"$800,000","$854,957","$398,762","$744,551",
adamsjo01,,,,,"$1,344,120",,,,,,
rushka01,,"$534,906",,,,,"$854,957","$926,678","$3,000,000","$19,466","$1,174,200"
reddmi01,"$18,300,000","$17,040,000",,"$1,308,506",,,"$14,520,000","$15,780,000","$12,000,000","$13,260,000","$3,000,000"
rondora01,"$9,090,911","$2,094,922","$11,000,000","$10,045,455","$12,909,091","$11,954,545","$1,229,280","$1,315,080",,"$1,143,600",
forbega01,"$473,604",,"$1,500,000","$1,500,000",,,,,,,
thomptr01,,,"$4,006,080","$3,726,600","$5,138,430","$4,062,000",,,,,
nachbbo01,,,,,,,"$2,500,000",,"$2,500,000","$2,500,000","$1,493,880"
jonesju01,,,,,,,,,"$1,875,000","$998,967","$1,687,500"
